Date,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles,Scotland
3/7/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,16
3/8/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,21
3/9/20,*,*,*,*,*,*,*,*,*,5,*,*,*,*,23
3/10/20,*,*,*,*,*,6,*,*,*,7,*,*,*,*,27
3/11/20,*,*,*,*,*,6,5,*,*,8,*,*,*,*,36
4/30/20,762,279,246,737,724,834,"2,759",242,"1,374","1,980",7,54,"1,349",6,"11,353"
5/1/20,778,281,249,750,747,866,"2,864",259,"1,400","2,014",7,54,"1,379",6,"11,654"
5/2/20,793,283,250,768,757,889,"2,939",288,"1,436","2,065",7,54,"1,392",6,"11,927"
5/3/20,799,284,250,776,788,898,"2,985",297,"1,454","2,089",7,54,"1,410",6,"12,097"
5/4/20,818,284,250,778,794,931,"3,029",299,"1,492","2,113",7,54,"1,411",6,"12,266"
5/5/20,825,284,254,784,802,946,"3,070",307,"1,520","2,149",7,54,"1,429",6,"12,437"
5/6/20,846,285,254,792,809,957,"3,203",310,"1,541","2,200",7,54,"1,445",6,"12,709"
5/7/20,853,286,254,801,818,973,"3,277",313,"1,576","2,241",7,54,"1,465",6,"12,924"
5/8/20,885,286,255,804,828,"1,001","3,333",317,"1,628","2,274",7,54,"1,471",6,"13,149"
5/9/20,895,286,255,810,828,"1,035","3,367",317,"1,635","2,324",7,54,"1,486",6,"13,305"
5/10/20,904,286,255,811,828,"1,050","3,449",320,"1,660","2,359",7,54,"1,497",6,"13,486"
5/11/20,912,292,255,813,839,"1,078","3,479",322,"1,693","2,380",7,54,"1,497",6,"13,627"
5/12/20,925,294,255,813,856,"1,102","3,510",324,"1,715","2,397",7,54,"1,505",6,"13,763"
5/13/20,946,297,254,816,859,"1,123","3,579",324,"1,721","2,428",7,54,"1,515",6,"13,929"
5/14/20,952,298,255,823,863,"1,142","3,628",328,"1,762","2,459",7,54,"1,540",6,"14,117"
5/15/20,964,304,255,824,867,"1,152","3,663",331,"1,781","2,497",7,54,"1,555",6,"14,260"
5/16/20,966,310,257,824,871,"1,181","3,707",331,"1,812","2,539",7,54,"1,582",6,"14,447"
5/17/20,974,313,257,824,873,"1,189","3,731",331,"1,828","2,561",7,54,"1,589",6,"14,537"
5/18/20,976,316,257,824,880,"1,200","3,742",331,"1,840","2,568",7,54,"1,593",6,"14,594"
5/19/20,981,317,257,825,883,"1,206","3,759",333,"1,853","2,575",7,54,"1,599",6,"14,655"
5/20/20,987,322,257,826,894,"1,216","3,780",334,"1,867","2,584",7,54,"1,617",6,"14,751"
5/21/20,995,322,257,826,896,"1,218","3,806",334,"1,892","2,611",7,54,"1,632",6,"14,856"
5/22/20,"1,001",322,257,826,909,"1,223","3,841",335,"1,913","2,634",7,54,"1,641",6,"14,969"
5/23/20,"1,015",322,257,826,915,"1,223","3,865",335,"1,922","2,649",7,54,"1,645",6,"15,041"
5/24/20,"1,019",322,258,826,917,"1,224","3,876",335,"1,934","2,665",7,54,"1,658",6,"15,101"
5/25/20,"1,019",322,260,827,917,"1,245","3,892",335,"1,944","2,669",7,54,"1,659",6,"15,156"
5/26/20,"1,023",323,260,828,918,"1,250","3,898",336,"1,948","2,675",7,54,"1,659",6,"15,185"
